Date, Open, High, Low, Close, Volume
08/30/19, 139.15, 139.18, 136.27, 137.86, 23946119
08/29/19, 137.25, 138.44, 136.91, 138.12, 20179721
08/28/19, 134.88, 135.76, 133.55, 135.56, 17410830
08/27/19, 136.39, 136.72, 134.66, 135.74, 23115641
08/26/19, 134.99, 135.56, 133.90, 135.45, 20325270
08/23/19, 137.19, 138.35, 132.80, 133.39, 38515391
08/22/19, 138.66, 139.20, 136.29, 137.78, 18709660
08/21/19, 138.55, 139.4935, 138.00, 138.79, 14982310
08/20/19, 138.21, 138.71, 137.24, 137.26, 21189000
08/19/19, 137.855, 138.55, 136.885, 138.41, 24370539
08/16/19, 134.88, 136.46, 134.72, 136.13, 25026150
08/15/19, 134.39, 134.58, 132.25, 133.68, 28125420
08/14/19, 136.36, 136.92, 133.67, 133.98, 32527250
08/13/19, 136.05, 138.80, 135.00, 138.60, 25496590
08/12/19, 137.07, 137.86, 135.24, 135.79, 20484350
08/09/19, 138.61, 139.38, 136.46, 137.71, 23466699
08/08/19, 136.60, 138.99, 135.93, 138.89, 27496510
08/07/19, 133.79, 135.65, 131.8284, 135.28, 33414539
08/06/19, 133.80, 135.68, 133.21, 134.69, 32696650
08/05/19, 133.30, 133.9298, 130.78, 132.21, 42749551
08/02/19, 138.09, 138.32, 135.26, 136.90, 30791619
08/01/19, 137.00, 140.9383, 136.93, 138.06, 40557500
07/31/19, 140.33, 140.49, 135.08, 136.27, 38598793
07/30/19, 140.14, 141.2199, 139.8005, 140.35, 16846529
07/29/19, 141.50, 141.51, 139.3663, 141.03, 16605869
07/26/19, 140.37, 141.675, 140.30, 141.34, 19037600
07/25/19, 140.43, 140.61, 139.3215, 140.19, 18356881
07/24/19, 138.90, 140.74, 138.85, 140.72, 20738279
07/23/19, 139.76, 139.99, 138.03, 139.29, 18034590
07/22/19, 137.41, 139.19, 137.33, 138.43, 25080760
07/19/19, 140.22, 140.67, 136.45, 136.62, 48992359
07/18/19, 135.55, 136.62, 134.67, 136.42, 30808711
07/17/19, 137.70, 137.93, 136.22, 136.27, 20210961
07/16/19, 138.96, 139.05, 136.52, 137.08, 22726131
07/15/19, 139.44, 139.54, 138.46, 138.90, 16651461
07/12/19, 138.85, 139.13, 138.0099, 138.90, 18936830
07/11/19, 138.20, 139.22, 137.87, 138.40, 22327939
07/10/19, 137.13, 138.58, 137.02, 137.85, 24204359
07/09/19, 136.00, 136.97, 135.80, 136.46, 19953100
07/08/19, 136.40, 137.10, 135.3701, 136.96, 16779750
07/05/19, 135.94, 137.33, 135.72, 137.06, 18141141
07/03/19, 136.80, 137.74, 136.295, 137.46, 13629300
07/02/19, 136.12, 136.59, 135.34, 136.58, 15237840
07/01/19, 136.63, 136.70, 134.97, 135.68, 22654160
06/28/19, 134.57, 134.60, 133.1558, 133.96, 30042971
06/27/19, 134.14, 134.71, 133.51, 134.15, 16557480
06/26/19, 134.35, 135.74, 133.60, 133.93, 23657750
06/25/19, 137.25, 137.59, 132.73, 133.43, 33327422
06/24/19, 137.00, 138.40, 137.00, 137.78, 20628840
06/21/19, 136.58, 137.73, 136.46, 136.97, 36727887
06/20/19, 137.45, 137.66, 135.72, 136.95, 33042590
06/19/19, 135.00, 135.93, 133.81, 135.69, 23744439
06/18/19, 134.19, 135.24, 133.57, 135.16, 25934461
06/17/19, 132.63, 133.73, 132.53, 132.85, 14517790
06/14/19, 132.26, 133.79, 131.64, 132.45, 17821699
06/13/19, 131.98, 132.67, 131.56, 132.32, 17200850
06/12/19, 131.40, 131.97, 130.71, 131.49, 17092461
06/11/19, 133.88, 134.24, 131.2757, 132.10, 23913730
06/10/19, 132.40, 134.08, 132.00, 132.60, 26477100
06/07/19, 129.19, 132.25, 128.26, 131.40, 33885594
06/06/19, 126.44, 127.97, 125.60, 127.82, 21458961
06/05/19, 124.95, 125.87, 124.21, 125.83, 24926141
06/04/19, 121.28, 123.28, 120.6522, 123.16, 29382641
06/03/19, 123.85, 124.37, 119.01, 119.84, 37983641
05/31/19, 124.23, 124.615, 123.32, 123.68, 26646770
05/30/19, 125.26, 125.76, 124.78, 125.73, 16829609
05/29/19, 125.38, 125.39, 124.04, 124.94, 22763141
05/28/19, 126.98, 128.00, 126.05, 126.16, 23128359
05/24/19, 126.91, 127.415, 125.97, 126.24, 14123360
05/23/19, 126.20, 126.29, 124.74, 126.18, 23603811
05/22/19, 126.62, 128.24, 126.52, 127.67, 15396490
05/21/19, 127.43, 127.5273, 126.58, 126.90, 15293260
05/20/19, 126.52, 127.5894, 125.7607, 126.22, 23706930
05/17/19, 128.305, 130.46, 127.92, 128.07, 25770539
05/16/19, 126.75, 129.38, 126.46, 128.93, 30112221
05/15/19, 124.26, 126.71, 123.70, 126.02, 24722711
05/14/19, 123.87, 125.88, 123.70, 124.73, 25266320
05/13/19, 124.11, 125.55, 123.04, 123.35, 33944922
05/10/19, 124.91, 127.93, 123.82, 127.13, 30915080
05/09/19, 124.29, 125.79, 123.57, 125.50, 27235840
05/08/19, 125.44, 126.37, 124.75, 125.51, 28419000
05/07/19, 126.46, 127.18, 124.22, 125.52, 36017660
05/06/19, 126.39, 128.56, 126.11, 128.15, 24239461
05/03/19, 127.36, 129.43, 127.25, 128.90, 24911131
05/02/19, 127.98, 128.00, 125.52, 126.21, 27350160
05/01/19, 130.53, 130.65, 127.70, 127.88, 26821689
04/30/19, 129.81, 130.70, 129.3947, 130.60, 24166500
04/29/19, 129.90, 130.18, 129.35, 129.77, 16324180
04/26/19, 129.70, 130.5152, 129.02, 129.89, 23654930
04/25/19, 130.06, 131.37, 128.83, 129.15, 38033887
04/24/19, 125.79, 125.85, 124.52, 125.01, 31256980
04/23/19, 124.10, 125.58, 123.83, 125.44, 24025520
04/22/19, 122.62, 124.00, 122.57, 123.76, 15648720
04/18/19, 122.19, 123.52, 121.3018, 123.37, 27991000
04/17/19, 121.24, 121.85, 120.54, 121.77, 19300939
04/16/19, 121.64, 121.65, 120.10, 120.77, 14071790
04/15/19, 120.94, 121.58, 120.57, 121.05, 15792570
